English,Japanese
a cup (glass) of ~,コップ一杯の〜
a few ~,少しの〜
a little ~,少しの〜
a lot,たくさん
a lot of ~,たくさんの〜
a pair of ~,一対の〜
a part of ~,一部
a piece of ~,１片の〜
a kind of ~,〜のような、〜の一種
after all,結局
after a while,しばらくして
after school,放課後
again and again,何度も
agree with ~,〜に同意する
all day,一日中
all night,一晩中
all over ~,〜中で
all right,よろしい、元気な
all the time,その間ずっと
and so on,〜など
around the world,世界中の
arrive at ~,〜に着く
as ~ as...,・・・と同じぐらい〜
as ~ as one can,できるだけ〜
as ~ as possible,できるだけ〜
as soon as ~,〜するとすぐに
as usual,いつものとおり
~ as well as ...,・・・と同様に〜も
ask ~ for ...,〜に・・・を求める
ask ~ to...,〜に・・・するように頼む
at first,最初は
at home,家で
at last,ついに
at once,すぐに
at that time,そのとき
at the age of ~,〜歳のときに
at the end of ~,〜の終わりに
at the same time,同時に
away from ~,〜から離れて
be able to ~,〜することができる
be afraid of ~,〜をこわがる
Be careful ~,気をつけなさい。
be different from ~,〜と違う
be from ~,〜出身だ
be famous for ~,〜で有名である
be full of ~,〜でいっぱいである
be going to ~,〜するつもりである
be glad to ~,〜してうれしい
be good at ~,〜が上手である
be in trouble,困っている
be interested in ~,〜に興味がある
be kind to ~,〜に親切である
be known to ~,〜で知られている
be late for ~,〜に遅れる
be made of ~,〜でできている
be made from ~,〜から作られる
be made up of ~,〜で成り立っている
be ready to ~,〜の準備ができている
be sorry that ~,〜を気の毒に思う
be sure that ~,〜を確信する
be surprised at ~,〜に驚く
be sick in bed,病気で寝ている
be worried about ~,〜を心配する
because of ~,〜のために
before noon,正午前
before long,まもなく
between ~ and ...,〜と・・・の間に
~ better than ...,・・・よりよく〜
both ~ and ...,〜も・・・も両方とも
by oneself,独力で
by the way,ところで
call at ~,（家を）訪問する
call on ~,（人を）訪問する
come and see me,会いに来る
come back,もどる
come from ~,〜の出身である
come home,帰宅する
come in ~,〜に入ってくる
come on,やってくる、さあ
come out,出てくる
come true,実現する
come up to ~,〜に近づく
cut down ~,〜を切り倒す
different ~ from ...,・・・と違う〜
do one's best,最善をつくす
do the dishes,食器を洗う
don't have to ~,〜する必要はない
each other,お互いに
either ~ or ...,〜か・・・かどちらか
enjoy ~ ing,〜することを楽しむ
~ enough to ...,・・・するのに十分〜
even if ~,たとえ〜であっても
every day,毎日
far away,遠くに
far from ~,〜から遠い
feel sick,気分が悪い
find out ~,〜を発見する
fill up,いっぱいになる
for a long time,長い間
for the first time,はじめて
for a while,しばらくの間
for oneself,独力で
for example,たとえば
for a minute,少しの間
from ~ to ...,〜から・・・まで
from now on,今後
full of ~,〜でいっぱい
get up,起きる
get out ~,外に出る
get to ~,〜に着く
get on ~,〜に乗る
get angry,怒る
get home,帰宅する
get well,（体調が）よくなる
get out of ~,〜から外に出る
get into ~,〜の中に入る
get in ~,〜に入る、乗る
get back,もどる
get off ~,降りる
get dark,暗くなる
give up ~,〜をあきらめる
go for a walk,散歩に出かける
go on,進む、行く、続く
go out,外に出る
go back to ~,〜へ帰る
go to bed,寝る
go away,立ち去る
go up,登る、上がる
go to sleep,眠る
go into ~,〜の中に入る
go ~ing,〜をしに行く
grow up,成長する
have been to ~,〜へ行ったことがある
have to ~,〜しなければならない
have a good time,楽しく過ごす
have a problem,困ったことがある
have a cold,カゼをひいている
Have you ever ~ ?,今までに〜した事がありますか
had better ~,〜したほうがよい
had to ~,〜しなければならなかった
hear of ~,〜のことを聞く
hear from ~,〜から便りがある
Here is (are) ~,ここに〜がある
Here you are.,はい、どうぞ。
How often ~ ?,何回〜？
How far ~ ?,どのくらいの距離〜？
How much ~ ?,いくらですか。
How about ~ ?,〜はどうですか。
How many ~ ?,どれくらい多くの〜？
How many times ~?,何回〜？
How long ~ ?,どれくらい長く〜？
How do you like ~ ?,〜はいかがですか。
How about you ?,あなたはどうですか。
how to ~,〜のしかた
I think that ~,私は〜と思う
I am afraid that ~,〜かと心配する
I see,（会話）わかります
I hope ~,〜を望む
in a few hours,２，３時間で
in a year,一年で
in fact,実際は
in the future,将来
in front of ~,〜の前に
in groups,集団で、グループで
in time for ~,〜に間に合って
in that way,その点では
in those days,その当時は
in one's opinion ~,〜の意見では
in the sun,日差しを浴びて
in order to ~,〜するために
in a way,ある意味では
It is ~ to...,・・・するのは〜だ
It takes ~ to ...,・・・するのに〜かかる
It's kind of you.,どうもご親切に。
It's getting dark.,暗くなってきた。
just like ~,ちょうど〜のよう
keep (on) ~ ing,〜し続ける
leave for ~,〜へ出発する
learn about ~,〜のことを知る、学ぶ
Let me see.,（会話）ええと。
listen to ~,〜を聞く
live in ~,〜に住む
look after ~,〜の世話をする
look at ~,〜を見る
look for ~,〜をさがす
look like ~,〜のように見える
look up,見上げる、調べる
look around ~,〜を見回す
look out,外を見る、注意する
look down,見おろす
long ago,今からずっと前に
make a mistake,間違える
make a speech,スピーチをする
make it,うまくいく
May I ~ ?,〜してもいいですか。
May I help you ?,いらっしゃいませ。
more than ~,〜以上
more and more ~,ますます〜
most of ~,〜の大部分
need to ~,〜する必要がある
next time,この次は
next to ~,〜のとなりに
not ~ at all,少しも〜ない
no one ~,だれも〜ない
not ~ any,少しの〜もない
not ~ any more,もうこれ以上〜ない
not only~ but also..,〜だけでなく・・もまた
not ~ yet,まだ〜ない
not as ~ as ...,・・・ほど〜でない
of course,もちろん
on foot,歩いて、徒歩で
on one's way home,家に帰る途中
on one's way to ~,〜に行く途中で
on time,時間どおりに
on one's own,独力で
one of ~,〜のうちの一つ
one day,ある日
out of ~,〜から外へ
over there,むこうに
part of ~,〜の一部分
pick up ~,〜を拾い上げる
point to ~,〜を指さす
pull out ~,〜を引き出す、抜く
put on ~,〜を着る
right now,今すぐに
run away,逃げる
say to oneself,心の中で思う
See you.,（会話）ではまた。
send ~ for ...,・・・を呼びに〜をやる
Shall we ~ ?,〜しませんか。
Shall I ~ ?,〜しましょうか。
sit down,腰をおろす
some day,いつの日か
some of them,それらのいくつか
